	seq_id	image_id	image_path	image_cat	image_subcat	d1	d2	d3	d4	d5
1001	1001	10499	training/k/kitchen/ADE_train_00010499.jpg	kitchen		Appears to be a dining room set	The room has sliding doors and it's sunny outside	the round table has a potted plant on top of it.	The dining chairs are modern and look odd	The chair seats are cushioned but the chair backs are formed and swept round  bamboo that look like not very nice to sit in
1002	1002	4446	training/b/bow_window/indoor/ADE_train_00004446.jpg	bow_window	indoor	a city can be seen outside a large window.	there is a fancy tall dark  brown cabinet on the left.	part of a light brown sofa can be seen on the left.	many small items are on the cabinet.	what looks like a white heater is straight ahead, near the floor.
1003	1003	11218	training/l/living_room/ADE_train_00011218.jpg	living_room		this is a living room	there is sofas, couches, coffee table	there is also dining area with large dining table and wine display cabinet	the room is lit with various lights	the different wall colors include white, beige and dark grey
1004	1004	224	training/b/bedroom/ADE_train_00000224.jpg	bedroom		This is a girls bedroom	There is a mural of a green pature on the wall behind the bed	The bed has a striped comforter on it	There are small white wood end tables on each side of the bed	The headboard of the bed looks like a picket fence
1005	1005	853	training/l/living_room/ADE_train_00000853.jpg	living_room		This is a living room with a high ceiling.	There are grey walls and gold colored drapes.	There are two floor to ceiling windows.	There is a gold chandilier and a mirror on the far wall.	There is a fire place lined with whitch and white colored couches.
1006	1006	10	training/b/bathroom/ADE_train_00000010.jpg	bathroom		this is a picture of the rest room	the entire is is made of marble	there is a toilet but not bathtub visicle	the floor is tile marble pattern	the sink is made of marble with mirror and there is flower on top of the sink counter
1007	1007	101507	validation/l/living_room/ADE_val_00001507.jpg	living_room		This is a fine living room or home theater.	There is a large screen on the back wall with a fireplace underneath.	There is large comfy furniture in this room	The celiing is high and there are decorative drapes on the sides of the large tv screen.	There is a large indoor plant on the left side of the room.
1008	1008	10668	training/k/kitchen/ADE_train_00010668.jpg	kitchen		Very large kitchen with two islands.	Over each island are two ceiling light with metallic shades.	The islands are painted a bluish gray,	There is a large window and you can see a tree outside	There are hints of old wood accents in to corners and ceiling but it's  just accents
1009	1009	283	training/b/bedroom/ADE_train_00000283.jpg	bedroom		This is a bedroom with 2 twin beds	The beds are dark wood and have white blankets on them	There is a mirror with a think dark wood frame on the wall opposite the beds	There is a small chair with a decorative metal back in the corner of the room	To the left of the beds is a white polka dot curtain
1010	1010	101047	validation/a/attic/ADE_val_00001047.jpg	attic		ANGLED WINDOWS	COMPUTER ON THE FLOOR	LOTS OF LIGHT IN THE CORNER	3 WINDOWS	NO CURTAINS
1011	1011	10637	training/k/kitchen/ADE_train_00010637.jpg	kitchen		there are two white doors, but the one on the right is slightly more forward than the other one	there is a golden chandelier hanging over an empty dining space, with three white sconces	the kitchen has an island counter top with a white marble base and a gray granite bar top	there are dark wooden cabinets, and two of them are raised up slightly to make room for an exhaust on a stove	you can see the silver faucet handle peeking out over the top of the bar
1012	1012	19431	training/u/utility_room/ADE_train_00019431.jpg	utility_room		there is a long skinny painting of something yellow colored on the wall with a gray frame	there are bottles of soap around the white sink on the gray counter	in the back left corner of the room there is a little red pot with wide green leaves and a white flower poking out	there are white cabinets with black handles, and the cabinets above the sink are shorter than the rest	"the faucet is long and skinny like the top of a lower case ""n"""
1013	1013	10608	training/k/kitchen/ADE_train_00010608.jpg	kitchen		there is a skinny black folding chair in the left side of the room	there is a white and black stove set in among brown cabinets	there is a small black trash can by the door that is overflowing with trash	there are dishes in the sink and some yellow container to the right of it	there is blue tapestry on the wall in the room near the kitchen
1014	1014	2488	training/b/basement/ADE_train_00002488.jpg	basement		There appears to be a remodel going on.	There are stairs going up on the left.	The stairs are grey.	There are can lights embedded in the ceiling.	The far wall is orange.
1015	1015	600	training/k/kitchen/ADE_train_00000600.jpg	kitchen		KITCHEN	SMALL ISLAND	LARGE BLACK STOVE HOOD	BLACK AND WHITE TILE PATTERN ON THE WALL	LARGE ISLAND LIGHT
1016	1016	15206	training/p/parlor/ADE_train_00015206.jpg	parlor		OUTDATED	VICTORIAN COUCH AND CHAIRS	GREEN WALLS	HEAVY DRAPERY	GOLD ACCENTS
1017	1017	913	training/l/living_room/ADE_train_00000913.jpg	living_room		the coffee table is like a butterscotch color with a darker brown cross	on the left of the fireplace there are two window panes but only one to the right	there is a brown leather chair with two small red pillows on it	there are two vases on the right edge of the mantle and one vase on the left edge	there is a brown frame with a picture of some brown coat of arms on a white background
1018	1018	3514	training/b/bedroom/ADE_train_00003514.jpg	bedroom		MASTER BEDROOM	FOUR POSTER BED	CEILING FAN	YELLOW WALLS	RED COMFORTER
1019	1019	2846	training/b/bathroom/ADE_train_00002846.jpg	bathroom		a mirror is on the right.	this appears to be a bathroom.	many items are on a counter near the mirror.	the wall on the left is beige colored.	this is probably a hotel bathroom.
1020	1020	6758	training/d/dinette/home/ADE_train_00006758.jpg	dinette	home	a chandalier is over square wooden table.	a flower pot with red flowers is on the table.	there are windows to the left, as well as to the right.	you can see a four-leveled cabinet with various items on it.	a screen covers the window to the left, but you can see a tree outside the window on the right.
1021	1021	2723	training/b/bathroom/ADE_train_00002723.jpg	bathroom		this is a bathroom	there is a bathtube with white drapes	the toilet is white with wide top and is located between the sink and bathtub	the sink has wooden cabinet underneath	the floor is white tiles
1022	1022	7167	training/d/dining_room/ADE_train_00007167.jpg	dining_room		a brown rectangular table is in the middle of the room.	four light colored leather chairs surround the table.	two large items which appear to be jugs are on the table.	a chandelair hangs over the table.	a green wall has 2 pictures on it.
1023	1023	11469	training/l/living_room/ADE_train_00011469.jpg	living_room		There is a red rug with cream and a cream rug with red	Here is a white armchair	There is a white sofa	There are two windows	There is a lamp
1024	1024	631	training/k/kitchen/ADE_train_00000631.jpg	kitchen		a rectacular black table is in the middle of the room	tall black chairs with red cushions surround the table.	a mug and a small bowl are on the table.	a very large brown cabinet is against a wall.	a tall screen door is on the left.
1025	1025	7072	training/d/dining_room/ADE_train_00007072.jpg	dining_room		This is a dining room with tan walls	There is a circular table in the center with 8 chairs around it	At the end of the door is a doorway that leads to the outside	There is a long dark wood cabinet to the left of the table	There are tan curtains on each side of the doorway
1026	1026	827	training/l/living_room/ADE_train_00000827.jpg	living_room		There are two white sofas	There is a white rug	There is a delicate square table	There are red cusions	There are three mirrors over the fireplace
1027	1027	7175	training/d/dining_room/ADE_train_00007175.jpg	dining_room		This is a dining room with light tan walls	There is a dark wood table in the center with an area rug underneath	There is a large pandant shaped light hanging above the table	Behind the dining table is a buffet with a mirror in the center	There is a large wooden door on the right of the room
1028	1028	766	training/l/living_room/ADE_train_00000766.jpg	living_room		this is a living room with sofa, chairs and couches	on top there is a fan with lights on	there are wooden cabinets and wooden mirrow on the wall	the room is carpet, walls are pastel yellow	there are windows
1029	1029	8381	training/g/game_room/ADE_train_00008381.jpg	game_room		This is a game room with three game tables	There is a red foosball table toward the front	The room has a light blue wall on the right and white wall on the left	There is a set of french doors at the end of the room	There is an air hockey table on the left side of the room
1030	1030	8494	training/g/garage/indoor/ADE_train_00008494.jpg	garage	indoor	there is an open white door on the left.	there is a large window on the left which is covered with dark brown shades.	there is a large floor with nothing on it.	you can see outside when you look straight ahead.	there is a ceiling fan to the left side near the door.
1031	1031	321	training/b/bedroom/ADE_train_00000321.jpg	bedroom		It's a bedroom with a blue and white checkered bed covering.	There is a large cardboard box with red writing on the bed as well as 2 smaller boxes.	There is striped wallpaper on the bottom half of the walls.	The bed has a wooden headboard.	There are orange and beige draperies on the window with a black frame.
1032	1032	4146	training/b/bedroom/ADE_train_00004146.jpg	bedroom		There are two beds here	There is one lamp	There is a red carpet	There are two windows	There are blue towels on the end of the beds
1033	1033	10231	training/k/kitchen/ADE_train_00010231.jpg	kitchen		This is a kitchen with tan colored cabinets	There is a window above the sink with scalloped trim above it	There is a white dishwasher to the right of the sink cabinets	There is a white refrigerator on the left side of the room	The kitchen ceiling is made of rectangular panels
1034	1034	10410	training/k/kitchen/ADE_train_00010410.jpg	kitchen		There is a tall white fridge here	There is a pink trash can	There are white cabinets	The walls are white	There is a wooden chair just cut off to the right
1035	1035	101950	validation/d/dining_room/ADE_val_00001950.jpg	dining_room		This room has a blue carpet	There is a wooden table	There are four chairs	The rest of the floor is white	There is a hanging lamp
1036	1036	100141	validation/b/bedroom/ADE_val_00000141.jpg	bedroom		Bedroom, very sparten. one framed image very high up on the wall so nobody can really look at it.	There are two beds, one is a Queen sized and shoved off in the corner looks like a child size single	both beds have same pattern for bed covering, a blotchy ugly gray, red and black motif. Very ugly.	ther is a pine end table with drawers that is unpainted or clear varnished	There are baby blue drapes at the window. The rug is white. A white rug? Really?
1037	1037	783	training/l/living_room/ADE_train_00000783.jpg	living_room		three are three  windows.	the window on the left is larger than the other two windows.	there is a big comfortable looking red chair in front of the biggest window.	there is a red and black carpet.	there is a coffee table quite low to the ground, over the carpet.
1038	1038	6918	training/d/dining_room/ADE_train_00006918.jpg	dining_room		there is a brown table with four chairs surrounding it.	the table is circular.	The wall has a fancy picture as well as a Cross on it.	A chandaliar hangs overhead.	A portion of a brown counter top can be seen.
1039	1039	11193	training/l/living_room/ADE_train_00011193.jpg	living_room		this is a gathering living large room with open windows similar to a lounge at a resort	the windows look out into the snowy moutain	there is a chandelier on top of a wooden table besides the couch and sofas and coffee table	the room is large and very high with lights and fans hanging down	there is a fire place and a book shelf next to the yellow pastel wall
1040	1040	165	training/b/bathroom/ADE_train_00000165.jpg	bathroom		this is a bathroom.	it has a bathtub with a shower.	it has a white shower curtain with black symbols on it.	there is a sink with two cabinet doors under it.	there are many items spread over the sink.
1041	1041	634	training/k/kitchen/ADE_train_00000634.jpg	kitchen		this is a large kitchen	the floor is white tiles	there is several glass door windows open	there is a cabinet with glass door showing glasses inside	the ceiling is white
1042	1042	2870	training/b/bathroom/ADE_train_00002870.jpg	bathroom		It's a bathroom with a pedestal sink.	You can see a plant in the mirror.	There is a green soapdish and a towel holder with green ends.	A rust colored washcloth is on the tub edge.	There is a white shower curtain hanging by the tub.
1043	1043	1909	training/a/attic/ADE_train_00001909.jpg	attic		This is an unfinished attic space	There are 2 long sections of plywood on the floor	The attic has exposed framing	There is red and silver backing to insulation visible on the left side of the floor	The room has an A-frame ceiling
1044	1044	7051	training/d/dining_room/ADE_train_00007051.jpg	dining_room		Coral pink walls with a white ceiling	two double glass doors with a palm tree on the outside.	The dining set seats 6. The chairs are ugly as hell with light pink cushions tied to the backs of the chairs. The kind you can never sit right on.	The color of the chair is a very light pastel puke baby barf green and do not go with the rest of the room whatsoever.	There is a ceiling lamp over the table with 5 lamps. chandelier
1045	1045	163	training/b/bathroom/ADE_train_00000163.jpg	bathroom		The image is of a luxury type bathroom in neutral beige tones.	The shower is glassed in and the tub is attached, but separate.	There is a large pewter fish decoration in the middle of the counters.	There are exposed beams above the double vanity.	There is a flower arrangement in the back corner of the tub with just greenery inside of it.
1046	1046	13905	training/n/nursery/ADE_train_00013905.jpg	nursery		Matching Dresser and Baby bed.	Top drawer on dresser is open, with an orange outfit, hanging out.	Wooden floor with an area rug.	White 3 photo frame on top of dresser.	2 colorful pillows stacked together, on the floor, with a pair of orange flip flops near.
1047	1047	101083	validation/b/bathroom/ADE_val_00001083.jpg	bathroom		It is a bathroom with white tile floor	there is a mirror that encompasses the entire wall behind the toilet	the wall is white on the bottom with shiplap	the upper wall is a mocha color	there a several large, bare bulbs illuminated the room from the top of the mirror
1048	1048	10230	training/k/kitchen/ADE_train_00010230.jpg	kitchen		It is a kitchen with blonde wood cabinets	the backsplash is while tile with dark, square tiles along the bottom edge.	there is an island with a back counter at bar height	the only window is wedged above the sink	there are two teapots and a knife block
1049	1049	6854	training/d/dining_room/ADE_train_00006854.jpg	dining_room		Huge rrom that has a very wide open in with a curved archedceiling to the next room	The fireplace looks unused and is painted a park blue with something inside it. Can't tell what.	Hard wood floors	The ceiling lamp is modern with a translucent circle to spread the light evenly.	Foreground is a table with apples and white and red tulips.
1050	1050	10588	training/k/kitchen/ADE_train_00010588.jpg	kitchen		Kitchen with white cabinets, walls, floor and a red counter top.	Steal appliances, stove, dishwasher, refrigerator and a white washing machine.	Big round stainless steal sink.	Coffee Pot and toaster sitting in corner of countertop..	Silver Kettle and a pot holder on the stove top.
1051	1051	20144	training/y/youth_hostel/ADE_train_00020144.jpg	youth_hostel		Bunk beds with a flowery design.	IKEA type bunk beds with a lousy thing ladder that doesn't look safe to climb on	ther are two wooden chair that are child sized yet have super tall slatted backs	there is a ceiling to floor window that is covered over with a sheer white fabric	there is a red drape in the corner. Room looks very small.
1052	1052	3912	training/b/bedroom/ADE_train_00003912.jpg	bedroom		there is a brown carpet	there is a bed elevated on the bed frame	there is a wooden cloest	there is a painting	there is a white trash can
1053	1053	15506	training/p/poolroom/home/ADE_train_00015506.jpg	poolroom	home	There is a billiard table here	It has a blue top	There are four ceiling lamps	The floor is polished wood	There is a wooden cabinet at the end of the room
1054	1054	3367	training/b/bedroom/ADE_train_00003367.jpg	bedroom		This is a  twin room	There is a pale wood floor	There is a blue picture between the beds	There is a blue lamp	There are blue curtains
1055	1055	186	training/b/bathroom/ADE_train_00000186.jpg	bathroom		this is a bathroom	there is a white bathtub	there is a white toilet	there is a white and wooden kitchen sink	the floor is brown marble
1056	1056	6749	training/d/dinette/home/ADE_train_00006749.jpg	dinette	home	the room has a two chair round dining table	on the table ther eis flower	the door to the next room with a bigger dining table is open	there is window	there is pictures on the walls
1057	1057	4455	training/b/bow_window/indoor/ADE_train_00004455.jpg	bow_window	indoor	the room has four large window panels next to each other	the room is currently relatively dark	there are a few large sofa pieces	look outside the window, there are trees and greens	the room has wood floor
1058	1058	7140	training/d/dining_room/ADE_train_00007140.jpg	dining_room		The dining room is circular.	There is an amazing circular wood inlay under the dining table.	The round dining table is black with a lazy susan in the middle and 6 wicker chairs	There is a vase of pink flowers on the sink counter.	There are sliders that open up to a green space.
1059	1059	10661	training/k/kitchen/ADE_train_00010661.jpg	kitchen		A ROOM WITH APPLIACES	A ROOM WITH WHITE COUNTER TOPS	AROOM WITH WOOD FLOORS AND A THROW RUG	THE ROOM HAS A BLACK DOG IN IT	YOU CAN SEE AN EXIT DOOR FROM THIS ROOM
1060	1060	9315	training/h/home_office/ADE_train_00009315.jpg	home_office		this looks like a work statino	there is a computer monitor on top of a long table	there is also other work tools such as clock, light, and mouse	there are some windows opened for light to come in	the room wall is white
1061	1061	101476	validation/k/kitchen/ADE_val_00001476.jpg	kitchen		A small kitchen set on one wall.	The flooring of the kitchen is blue and white checkers.	The countertops are blue.	The flooring on the other side of the kitchen is wood.	The oven is under the countertops and is white.
1062	1062	10895	training/l/laundromat/ADE_train_00010895.jpg	laundromat		A row of coin operated steel washing machines.	Each machine has a circular window on the front.	They have slots for coins to go in at the top of the machines.	Two machines on the end have orange stickers on them.	The flooring looks to be a brick colored tile.
1063	1063	10589	training/k/kitchen/ADE_train_00010589.jpg	kitchen		The image is a kitchen counter	I can see the sink, oven and some cupboards	There is a partial window on the left side of the picture	The cupboards are beige	The floor is brown and it looks tiled.
1064	1064	10732	training/k/kitchen/ADE_train_00010732.jpg	kitchen		A kitchen with a bar b que type grill built into the cabinet.	There are three hanging lights above the counter.	The floor is large square brown tiles.	There is a large silver vent hood over the grill.	There are four square drawers under the grill.
1065	1065	101466	validation/k/kitchen/ADE_val_00001466.jpg	kitchen		It is a kitchen	The floor is brown and cabinets are white	The counter is a light green color	The appliances are all white	There is a window next to the fridge
1066	1066	11466	training/l/living_room/ADE_train_00011466.jpg	living_room		It is living room	There are red curtains over the windows	The furniture is wicker with cushions	There is an orange candle between 2 chairs	There is hardwood floors
1067	1067	8466	training/g/garage/indoor/ADE_train_00008466.jpg	garage	indoor	the room is empty	it has a garage look	there is a blue box	the wall is white	the floor is also white
1068	1068	2630	training/b/bathroom/ADE_train_00002630.jpg	bathroom		this is where you go to have private time by yourself	you could go here to sit down and empty your self	you can relax here and soak	you would wash you hands in here and other places on your body	this is the only place that you would use toilet paper
1069	1069	10462	training/k/kitchen/ADE_train_00010462.jpg	kitchen		A small kitchen with a small tiled bar.	The tiles on the bar are black and blue in a diamond pattern.	There are white slatted folding doors to the right of the refrigerator.	The cabinets are brown.	The refrigerator is white.
1070	1070	5525	training/c/childs_room/ADE_train_00005525.jpg	childs_room		A child's bedroom with bugs hanging from the ceiling.	There is blue carpet in the room.	There is a blue valance above the window.	There are two blue pillows on the colorful bedspread.	There are drawers and storage under the bed.
1071	1071	2998	training/b/bathroom/ADE_train_00002998.jpg	bathroom		It is a bathroom	There is a large mirror over a dark colored vanity	The shower has large glass doors	There is a white towel hanging on the glass door next to the sink	The shower is very large
1072	1072	5734	training/c/closet/ADE_train_00005734.jpg	closet		the room appears to be a walk in closet or display section at the clothing store	there are black, blue red and grey articles of clothing	the clothes are nearly organized	there are also a suitcase and backpack at the bottom	the wall is beige and white color
1073	1073	10759	training/k/kitchenette/ADE_train_00010759.jpg	kitchenette		There are brown cabinets.	There is a white mini refrigerator in the middle.	There's a part of a chair on the left hand side.	There is a time stamp in the bottom right.	It looks like a mini kitchen with a pink bottle on the counter next to the sink.
1074	1074	10468	training/k/kitchen/ADE_train_00010468.jpg	kitchen		this is a large kitchen	there is afridge	the cabinets are brown	there is a long counter section with marble top and two plants on top	the lights on the ceiling are on
1075	1075	4023	training/b/bedroom/ADE_train_00004023.jpg	bedroom		this is a large bedroom	the bed is large with wooden poles on the corner	there is a nice carpet print in the middle of the room	there are a few chair next to the fire place	the door has glasses and is open for the light to comes in
1076	1076	475	training/b/bedroom/ADE_train_00000475.jpg	bedroom		this is a picture of a large bedroom	the bedroom has large open glasses window and allowing view to the outside	the bed is large with many decorative pillows, with brown blanket and colorful set of pillows	there are many painting and artworks hanging on the wall behind the bed	there are two chairs in the room and a fan on the ceiling
1077	1077	772	training/l/living_room/ADE_train_00000772.jpg	living_room		A living room with a brown accent wall and a brown rug.	There is a white couch and a white loveseat.	Each couch has two throw pillows on it.	There are tables with matching lamps on either side of the couch.	There are two paintings hanging on the brown accent wall above the couch.
1078	1078	6762	training/d/dinette/home/ADE_train_00006762.jpg	dinette	home	There are four chairs around a table	There are white blinds	There are yellow walls	There are wood floors	There are lights over the table
1079	1079	10275	training/k/kitchen/ADE_train_00010275.jpg	kitchen		This is a large kitchen with an island and bar	The walls of the room are yellowish tan	There are 5 brown bar stools toward the front	The room has high ceiling with many recessed ights	There is an entry door visible to the left of the kitchen
1080	1080	19916	training/w/wet_bar/ADE_train_00019916.jpg	wet_bar		There is a wood cabinet	The cabinet has a dark top	There is a lamp on the cabinet	There are glasses here	The walls are white
1081	1081	11096	training/l/living_room/ADE_train_00011096.jpg	living_room		the room is painted yellow color with slight touch of white on the bottom of the wall	there are two bookshelves on either side of the door	one of the bookshelf is white, the other is brown	there is a couch and a lamp	the door to the other room is open revealing a clock hanging high on the wall
1082	1082	5713	training/c/closet/ADE_train_00005713.jpg	closet		this look like a walk in closet or a display shelves at a clothing store	there are many wooden shelves	clothes, include suits are hanging on these wooden shelves	there is a chair with pillows on top	the ceiling is white
1083	1083	3864	training/b/bedroom/ADE_train_00003864.jpg	bedroom		There is a double bed	There is a bedside table	There are blinds on the windows	There is a lamp on the table	The table is brown wood
1084	1084	2835	training/b/bathroom/ADE_train_00002835.jpg	bathroom		an old fashioned bathtub takes up almost the whole picture.	a towel hangs over the bathtub.	it is a white bathtub.	there is a window next to the bathtub.	the floor is made of red tiles.
1085	1085	19421	training/u/utility_room/ADE_train_00019421.jpg	utility_room		This is a laundry room with a white washer and dryer	The walls of the room are light blue	There is a brown solid surface countertop above the appliances	There is a narrow white cabinet to the right of the washer and dryer	There is a white wood door to the left of the washer and dryer
1086	1086	1941	training/a/attic/ADE_train_00001941.jpg	attic		Queen sized plain looking bed on a raised platform and not a boxspring.	Inside an attic room with 45 degree angle ceiling	exposed beam of brown painted in a tree shape	The drapes look weird hanging of the ceiling like that	Tiny table lamp on a very tiny end table.
1087	1087	19931	training/w/wet_bar/ADE_train_00019931.jpg	wet_bar		there is a wood cub board attached on the wall.	there is a wood drawer with three chairs.	there are some materials on the drawer.	there are some lights on the wall.	on the whole there are chairs and drawer.
1088	1088	10572	training/k/kitchen/ADE_train_00010572.jpg	kitchen		This room is mostly white	There is a white table and chairs	The table has colourful things on it	The floor is tiled	The wall is mustard yellow
1089	1089	11153	training/l/living_room/ADE_train_00011153.jpg	living_room		Oh! Rustic den of the old hunting cabin type!	Actual log cabin, but flat wall, unless this is painted illusions, which I doubt.	The 8 foot long stuff and upholstered sofa is a blue and lighter blue plain design.	The rug is a braided oval type that nobody sells anymore	The coffee table looks like real solid wood, sturdy and in very good shape.
1090	1090	10242	training/k/kitchen/ADE_train_00010242.jpg	kitchen		Large kitchen with an ?attached? island.	Hardwood flooring	White painted cabinets all over, white shelves, black countertops.	Window beyond the steel sink looks like the city. I see a Skyscraper?	There are plants everywhere on the shelf, counter and hanging.
1091	1091	8458	training/g/garage/indoor/ADE_train_00008458.jpg	garage	indoor	there is a bicycle.	it seems to be waste materials that are placed in a room.	there are some t shirts hanging on the pipe.	many plastic materials like basket.	there are many waste objects placed on the shelf.
1092	1092	2996	training/b/bathroom/ADE_train_00002996.jpg	bathroom		Small bathroom, white tiled walls, wooden wall mounted sheving.	Large mirror over old style sink	The white plain curtain is blocking view of the tub.	The toilet is ultra small with the button on top to flush.	This toilet is not for big fat wide huge people. Really small.
1093	1093	2735	training/b/bathroom/ADE_train_00002735.jpg	bathroom		The pink coral bathoom. The tile in the very small tub is a darker pink than the pink counter top.	Pink towels on the rack.	Pinkish wooden slatted shade on the window which is right above the tiny tub	This is a framed picture of people on the counter top that has two tiny sinks	Everything else is painted white under the counter
1094	1094	10438	training/k/kitchen/ADE_train_00010438.jpg	kitchen		The image is of a tiny and cluttered kitchen.	The stove appears tall and very slim like half the width of a normal stove.	The microwave is on the counter right next to the mini stove.	The almong colored refrigerator is across from the sink.	The cabinets are painted cream with a dark brown stripe across the bottom.
1095	1095	11175	training/l/living_room/ADE_train_00011175.jpg	living_room		Many framed images on the one wall about 12-13 of them mostly landscapes.	Hot pink Queene Anne chair.	Gray brown upholstery chair, with a yellow foot stool with wooden legs.	Upholstery sofa of a off-white and 2 floor lamps that do not match.	This room looks like two different people who lived alone, decided to move in together and brought their own chairs. with them. Nothing matches. Nothing.
1096	1096	5498	training/c/childs_room/ADE_train_00005498.jpg	childs_room		Bed frame and the painting on the wall is of a white picket fence.	Yellow walls, Yellow toy box, yellow trim on the dresser and Big Bird in a rocking chair.	Hot pink Moon face hanging on wall and a hot pink beanbag on the floor.	2 Different white shelves hanging on the wall.	Bunnies placed on the white shelves.
1097	1097	10179	training/k/kitchen/ADE_train_00010179.jpg	kitchen		It is a luxury kitchen which is very neat and amazing.	there are some chairs near the shelf.	there is a refridgerator near the shelf	there are some shield and many objects on the upper shelf.	there are some cub boards on the wall.
1098	1098	10346	training/k/kitchen/ADE_train_00010346.jpg	kitchen		Very shiny silver counter top stove eyes.	Built in gas stove.	Marble counter tops, and white tile on the wall and tan and burgundy painted walls.	Piece of silver handle in the background.	Stop top is so shiny it reflects off the wall.
1099	1099	8384	training/g/game_room/ADE_train_00008384.jpg	game_room		Floor to ceiling glass windows, with a view to the outside.	3 empty unusable poot tables.	Buildings and rails are visible through the windows.	White tile flooring with rug as an entrance.	Only light inside the room is natural light from outside.
1100	1100	179	training/b/bathroom/ADE_train_00000179.jpg	bathroom		it seems to be bathroom	there is window by the side	there is wash basin with a towel	there is another long wash basin	there is door near the wash basin
1101	1101	138	training/b/bathroom/ADE_train_00000138.jpg	bathroom		Very interesting colors and lighting on this beautiful bathroom.	The counter is faux French white and gold motif with two sinks	A very large mirror with a gold frame	The best part is the bathtub that is set almost in it's own room with a dark blue walls that curve up into a single ceiling light	The window in the bath alcove has a painted glass image that looks like something off a tarot card deck, The three of Pentacles?
1102	1102	3622	training/b/bedroom/ADE_train_00003622.jpg	bedroom		You are looking for a dingy room with emerald green border extending from the middle of the wall to the ceiling.	There is a large brown desk with wooden chair blocking the window.	There is a mattress with only a white mattress cover on it.	The back wall is half painted emerald green and half white.	The carper is a light gray or dirty beige.
1103	1103	2780	training/b/bathroom/ADE_train_00002780.jpg	bathroom		This is a small bathroom	The toilet is white	The sink is white	There is a box of tissues on the left	the tiles are white
1104	1104	844	training/l/living_room/ADE_train_00000844.jpg	living_room		This is a sitting room with a small chandelier.	The couches appear to be an orange velour or velvet.	There is a small coffee table sitting on top of a rug that has creme and brown coloring.	there is a hutch in the corner that is holding various things.	There are a lot of pictures on the wall over the couch that are very colorful
1105	1105	2702	training/b/bathroom/ADE_train_00002702.jpg	bathroom		there are double sinks	there is a mirror	there is faucet	in the mirror one can see the door	the towels set are also reflected in the mirror
1106	1106	7255	training/d/dining_room/ADE_train_00007255.jpg	dining_room		This is a dining room	There is a circular wooden table	There is a wood floor	There are floor to ceiling windows	There is a big tree outside
1107	1107	3722	training/b/bedroom/ADE_train_00003722.jpg	bedroom		this is a bedroom with a valuted ceiling that has exposed wood in the vault	There comforter is a lavender color and has matching pillows.	There is a large double armoire in the room.	there is an antique dresser in the room	there are double doors that open onto a patio and the mountains can be seen
1108	1108	7105	training/d/dining_room/ADE_train_00007105.jpg	dining_room		This is a dining room that is surrounded by windows on three sides.	The table is rather long and has a bench with cushions on one side and chairs on the other.	there are pendant lights hanging from the ceiling directly over the table.	The floors are slatted woodedn floors.	There is a topiary sitting on the table.
1109	1109	15772	training/r/recreation_room/ADE_train_00015772.jpg	recreation_room		Rustic wall wooden motif of a room, with everything the same type of wood.	except the stuffed chair that looks like blue leather and doesn't belong with the rest of the room	the bar has two high chairs behind it.	The framed imaged is of a horse.	there is a pink ceiling lamp
1110	1110	9372	training/h/home_office/ADE_train_00009372.jpg	home_office		This is an office or musical room.	There is a drum set.	There are guitars and a microphone.	There is a corner desk with a small shelving unit attached on top.	There are two windows with closed blinds.
1111	1111	100433	validation/h/hotel_room/ADE_val_00000433.jpg	hotel_room		This is a bedroom with 2 twin beds	The room has light yellow walls and a dark floor	There is a yellow blanket at the end of each bed	There is a white wood dresser on one wall	There is a tall floor lamp in the corner and a reading lamp mounted on the wall
1112	1112	9369	training/h/home_office/ADE_train_00009369.jpg	home_office		This is a large open room. Could be a study or office.	There is a large desk attached to a large shelving unit.	There are many compartments to the large shelving unit.	There are yellow walls, white ceiling, light tan flooring.	There is a large window in the right hand corner and two photo frames on the wall near it.
1113	1113	8338	training/g/game_room/ADE_train_00008338.jpg	game_room		there are many cartoon pictures.	there are some speakers in the front of each picture.	the cartoon pictures are connected to each other with a wire.	there is a big instrument like object near the pictures.	overall it a cartoon room
1114	1114	2687	training/b/bathroom/ADE_train_00002687.jpg	bathroom		Small tiled bathoom, Everything is white and new looking	the old style sink that had the plumbing covered has the old fashioned spigots.	the tub is very small.	The toilet tank is VERY small, and for some reason we have a roll of TP that is almost out placed on top on the tanks	I think the small tank has the kind where you push the button on top instead of having a lever on the side to flush itt
1115	1115	3576	training/b/bedroom/ADE_train_00003576.jpg	bedroom		The yellow room. Hideous and ugly ceiling lamp hanging over the bed akin to a Damascus sword, ready to impale you as you sleep.	White ceiling, fabric textured yellow wallpapering	Yellow and white bed coverings and pillows.	Very thing end table with small table lamp with fabric shade.	At least six framed images with glass coverings mounted on the walls.
1116	1116	5736	training/c/closet/ADE_train_00005736.jpg	closet		This is a wooden closet	It is filled with clothing	The first two columns have two rows	The third column is for dresses and long clothing	There is a rug in the room
1117	1117	16814	training/s/staircase/ADE_train_00016814.jpg	staircase		There is a curved staircase	There is a large, circular section to the ceiling	The floors are medium-color natural wood	There are 4 photos arranged horizontally beneath the stairs	the entire room is in neutral tones
